title,Bag_of_words
The Daughter of Time, mystery historical josephinetey scotland yard inspector alan grant intrigued portrait richard iii could sensitive face actually belong heinous villain — king killed brother child secure crown seek kind man fact prince tower
The Lords of Discipline, fiction historical patconroy novel never forget ... powerful breathtaking story four cadet become bloodbrothers together encounter hell hazing rabid raunchy dangerously secretive atmosphere arrogant proud military institute experience violence passion rage friendship loyalty
Wives and Daughters, classics fiction elizabethgaskell pammorris (editor) set english society 1832 reform bill wife daughter centre story youthful molly gibson brought childhood father remarries new step sister enters quiet life – loveable worldly troubling cynthia narrative trace development two girl womanhood within gossiping watchful
The Raven King, fantasy youngadult maggiestiefvater fourth final installment spellbinding series irrepressible 1 new york time bestselling author maggie stiefvater life blue warned cause true love death believe never thought would problem becomes caught strange sinister world raven b
Heart of a Dog, fiction classics mikhailbulgakov mirraginsburg (translator) satirical novel tell story surgical transformation dog man obvious criticism soviet society especially new rich arose bolshevik revolution
The Candidate and other stories, contemporary bookclub samuelr.george meet professor alfred jules ayer famous philosopher noted atheism disdain thing metaphysical reverence logic “ candidate .” suffering heart attack find greek underworld never expected afterlife fabled abode nothing like fable mentioned salmon human arm leg
The Fifth Season, fantasy fiction n.k.jemisin way world end three terrible thing happen single day essun woman living ordinary life small town come home find husband brutally murdered son kidnapped daughter meanwhile mighty sanze -- spanning empire whose innovation civilization bedrock thousand year collapse
Daddy-Long-Legs," classics fiction jeanwebster jerusha abbott eighteen year old girl living orphan asylum told mysterious millionaire agreed pay education like dream come true first time life someone could pretend family ."" everything perfect chose remain anonymous asked write concerning"
Bag of Bones, horror fiction stephenking four year sudden death wife forty year old bestselling novelist mike noonan still grieving unable write plagued vivid nightmare set western maine summerhouse call sara laugh reluctantly return lakeside getaway find beloved yankee town held grip powerful millionaire max devore whose v
The Snowman, mystery mystery jonesbø donbartlett (translator) v osle napadol prvý sneh jonas ráno vstane zistí že jeho matka zmizla ostane po nej jediná stopa – ružový šál čo jej daroval na vianoce má ho krku snehuliak predošlú noc sa nečakane zjavil dvore čierne oči hľadia priamo domu prípad rieši inšpektor harry hole ktorý nedávno dostal tajomný list podpisom situácia ešte väčšmi zamotáva k
Stone of Tears, fantasy fiction terrygoodkind wizard first rule richard cypher world turned upside simple wood guide forced become seeker truth save vile dominance darken rahl viciously savage powerful ever seen joined epic quest beloved kahlan survivor among confessor wh
The Fall of Hyperion, sciencefiction fiction dansimmons stunning continuation epic adventure begun hyperion simmons return u far future resplendent drama invention world mysterious time tomb opening secret contain mean nothing -- anywhere universe ever
Finnikin of the Rock, fantasy youngadult melinamarchetta finnikin rock guardian sir topher home beloved lumatere ten year since dark day royal family murdered kingdom put terrible curse summoned meet evanjalin young woman incredible claim heir throne prince balthazar alive
The Mill on the Floss, classics fiction georgeeliot a.s.byatt (editor/introduction) life love else maggie brought dorlcote mill tulliver worship brother tom desperate win approval parent passionate wayward nature fierce intelligence bring constant conflict family reach adulthood clash expectation desire
We the Living, fiction classics aynrand leonardpeikoff (introduction) ayn rand first published novel timeless story explores struggle individual state soviet russia 1936 living portrays impact russian revolution three human being demand right live life pursue happiness tell young woman ’ passionate love held like fo
Reckless, romance newadult s.c.stephens love survive life get reckless band hit big kiera kellan must ask constant pressure superstardom friendship formed new family found history forged play part helping navigate turbulent water exploding popular
The Deal, romance newadult ellekennedy alternative cover edition found make deal college bad boy ... hannah well finally someone turn might confident every area life carting around full set baggage come sex seduction want get crush attention step
The Rise and Fall of the Third Reich: A History of Nazi Germany, history nonfiction williaml.shirer hitler boasted third reich would last thousand year lasted 12 contained catastrophic event western civilization ever known powerful empire bequeathed mountain evidence birth destruction bitter war nazi could destroy thei
God Is Not Great: How Religion Poisons Everything," nonfiction religion christopherhitchens unique brand erudition wit hitchens describes way religion man made god make u ,"" say ."" explains immoral damage child indoctrinating cause sexual repression violence ignorance distortion origin cosmos place"
The Husband's Secret, fiction mystery lianemoriarty heart husband ’ secret letter meant readmy darling cecilia reading died ... imagine wrote opened death contains deepest darkest — something potential destroy life built together life
Pure, fantasy youngadult jenniferl.armentrout need fate ... destined become kind supernatural electrical outlet ’ exactly awesome — especially alexandria half everywhere go seth training room outside class keep showing bedroom cool connection benefit like staving nightmare
Splintered, fantasy youngadult a.g.howard alyssa gardner hears whisper bug flower — precisely affliction landed mother mental hospital year family curse stretch back ancestor alice liddell real life inspiration lewis carroll ’ adventure wonderland might crazy manages keep together h
Our Mutual Friend, classics fiction charlesdickens satiric masterpiece allure peril money mutual friend revolves around inheritance dust heap rich throw trash body john harmon ’ expected heir found thames fortune change hand surprisingly raising new height “ noddy ” boffin low born kindly clerk becomes golden dustm
Good in Bed, womensfiction chicklit jenniferweiner weiner witty original fast moving debut feature lovable heroine solid cast snappy dialogue poignant take life priority twenty eight year thing tripping along nicely cannie shapiro sure mother come charging closet father long since dropped world love friend rat terr
The Rules of Attraction, fiction contemporary breteastonellis set small affluent liberal art college new england eighty rule attraction startlingly funny kaleidoscopic novel three student plan future — even present become entangled curious romantic triangle bret easton elli train incisive gaze kid self consciously bohemian camden treat thei
A ​Court of Silver Flames, fantasy romance sarahj.maas nesta archeron always prickly proud swift anger slow forgive ever since forced cauldron becoming high fae struggled find place within strange deadly world inhabits worse seem move past horror war hybern lost one person ign
Equal Rites, fantasy fiction terrypratchett discworld dying wizard try pas power eighth son moment born fact actually daughter discovered little late town witch insists turning baby perfectly normal thus mending magical damage mistake young girl
Bird Box, horror fiction joshmalerman alternate cover edition isbn 9780062259653something something terrifying must seen one glimpse person driven deadly violence know came five year began handful scattered survivor remains including malorie two young child living abandoned house near r
Night Watch," fantasy fantasy sergeilukyanenko andrewbromfield (translator) others walk among u observing set contemporary moscow shape shifter vampire street sorcerer linger shadow night watch first book hyper imaginative fantasy pentalogy best selling russian author sergei lukyanenko epic saga chronicle eternal war “ ,” ancient race human supernatural powe"
The Steps: 12 Secrets To Raising Happy and Successful Kids, parenting andrewwatson charleswatson parent always searching way raise child smarter better happier step 12 secret raising happy successful kid author child development expert andrew watson md charles ph draw decade experience helping countless struggling new write engaging translation best research
Gates of Fire, historical historicalfiction stevenpressfield thermopylae rocky mountain pas northern greece feared admired spartan soldier stood three hundred strong suicide mission hold invading million mighty persian army day bloody withstood terrible onslaught buying time greek rally force born cult spiritual coura
No Longer Human, fiction classics osamudazai donaldkeene (translator;introduction) osamu dazai longer human leading postwar japanese writer second novel tell poignant fascinating story young man caught breakup tradition northern aristocratic family impact western idea consequence feel disqualified literal translation tit
The City of Dreaming Books, fantasy fiction waltermoers j.maxwellbrownjohn (translator) author 13 1 ⁄ 2 life captain bluebear transport u magical world optimus yarnspinner find marooned subterranean bookholm city dreaming book reading dangerous ruthless bookhunters fight death young writer inherits beloved godfather unpublished short story
To Say Nothing of the Dog, sciencefiction sciencefiction conniewillis connie willis hugo nebula award winning doomsday book us time travel serious look people connect companion novel offer completely different kind adventure delightful romantic comedy pay hilarious homage jerome k three men boat many jump back 1940
Twilight, youngadult fantasy megcabot time life death suze gotten used ghost mediator communicating dead day work certainly never expected fall love one jesse nineteenth century hottie discovers power determine becomes ghost first place begin freak mean c
Dreamland, youngadult contemporary sarahdessen alternate cover edition isbn13 wake caitlinever since started going rogerson biscoe caitlin seems fallen semiconscious dreamland nothing quite real different anyone ever known magnetic compelling dangerous make forget everything
Our Town, plays classics thorntonwilder donaldmargulies (foreword) tappanwilder (afterword) town first produced published 1938 wide acclaim pulitzer prize winning drama life small village grover corner allegorical representation become classic thornton wilder renowned frequently performed play
The Forbidden Game, youngadult fantasy l.j.smith jenny buy game boyfriend tom find inexplicably drawn guy behind counter something mysteriously alluring julian pale eye bleached blond hair place hand know connection deeper six friend begin play birthday cele
Attachments," romance fiction rainbowrowell hi guy read e mail also love ..."" beth fremont jennifer scribner snyder know somebody monitoring work everybody newsroom know company policy .) quite bring take seriously go sending endless endlessly hilarious mail discussing every aspect"
The Second Sex," feminism nonfiction simonedebeauvoir h.m.parshley (translator&editor) deirdrebair (introduction) newly translated unabridged english first time simone de beauvoir ’ masterwork powerful analysis western notion “ woman ,” groundbreaking exploration inequality otherness long awaited new edition reinstates significant portion original french text cut translation vital groundbreaki"
The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus, nonfiction science richardpreston highly infectious deadly virus central african rain forest suddenly appears suburb washington c cure day 90 percent victim dead secret military swat team soldier scientist mobilized stop outbreak exotic hot zone tell dramatic story giving hair raising accou
Life for Life, contemporary drama j.k.franko would someone threatened family roy cruise pregnant wife susie barely survived assassination attempt home police surveillance meanwhile kristy wise loose cannon — know much trying “ set thing right .” go around come case may pushed thin
The House at Pooh Corner, classics childrens a.a.milne ernesth.shepard (illustrations) winnie pooh best bear world long adored reader young old beautiful full color gift edition house corner ernest h shepard classic illustration painstakingly hand colored exquisite volume perfect occasion book vivid charming beloved character
Son of the Shadows, fantasy romance julietmarillier year comparative peace darkness fallen upon ulster trouble brewing even heart forest safe niamh elder daughter sorcha required make strategic marriage sister liadan gift sight mother ’ talent healing find drawn shadowy world painted man
Tales of the City, fiction lgbt armisteadmaupin san francisco 1976 naïve young secretary fresh cleveland tumble headlong brave new world laundromat lothario pot growing landlady cut throat debutante jockey short dance contest saga ensues manic romantic tawdry touching outrageous — unmistakably handiwork armistead maupin
"The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth", psychology nonfiction m.scottpeck road le traveled new psychology love traditional value spiritual growth316 pp psychotherapy thing people mega selling pop watershed feature introduction author 25th anniversary edition agenda tome first published 1978 become bestseller 1983
Beyond the Shadows, fantasy fiction brentweeks new queen usurped throne leading cenaria disaster country become broken realm threadbare army little food hope kylar stern plan reinstate closest friend logan king really get away murder north godking death thrown khalidor civil war gain upper hand one faction
Along Came a Spider, mystery fiction jamespatterson missing little girl named maggie rose family three brutally murdered project washington c thrill killing beautiful elementary school teacher psychopathic serial kidnapper murderer terrifying fbi secret service police cannot outsmart even captured gary soneji want
Maybe Someday, romance newadult colleenhoover contains exclusive content song griffin peterson sydney living idyllic bubble — dedicated student steady job side life best friend great boyfriend music coming balcony opposite fast becoming soundtrack life find cheating b
Slave to Sensation, romance fantasy nalinisingh dive world torn apart powerful race phenomenal power mind — none heart denies emotion ruling psy punish sign desire sascha duncan must conceal feeling brand flawed reveal would sentence horror “ rehabilitation ”— complete psychic erasure everythi
Everything I Never Told You, fiction contemporary celesteng lydia dead ’ know yet begin exquisite novel chinese american family living 1970s small town ohio favorite child marilyn james lee parent determined fulfill dream unable pursue body found local lake delicate balancing act bee
Warbreaker, fantasy fiction brandonsanderson 1 new york time bestselling author brandon sanderson warbreaker story two sister happen princess god king one marry lesser like job immortal still trying undo mistake made hundred year ago world die glory return god live conf
Heist Society, youngadult mystery allycarter katarina bishop three parent took trip louvre … case seventh birthday uncle eddie traveled austria steal crown jewel kat turned fifteen planned con — scamming way best boarding school country determined leave family business behind unfortunately leav
Wide Sargasso Sea, fiction classics jeanrhys andreaashworth (introduction) wide sargasso sea masterpiece modern fiction jean rhys ’ return literary center stage startling early career known extraordinary prose haunting woman character last best selling novel ingeniously brings light one fascinating madwoman attic f
Little Dorrit, classics fiction charlesdickens stephenj.wall (editor) helensmall (editor) novel serendipity fortune lost spectre imprisonment hang aspect victorian society charles dickens little dorrit edited introduction stephen wall penguin classic arthur clennam return england many year abroad take kindly interest amy mother seamstress
The Hour I First Believed, fiction historical wallylamb wally lamb two previous novel come undone know much true struck chord reader responded intensely introspective nature book lively narrative style biting humor hour first believed travel well beyond earlier work embodies fiction myth psychology family history stretchin
The Right Stuff, nonfiction history tomwolfe tom wolfe began right stuff time unfashionable contemplate american heroism nixon left white house disgrace nation reeling catastrophe vietnam 1979 -- year book appeared american held hostage iranian militant yet exactly anachronistic courage subject captivated
The Sweet Far Thing, fantasy youngadult libbabray year change since gemma doyle arrived foreboding spence academy mother murdered father laudanum addict relied unsuspected strength discovered ability travel enchanted world called realm dark magic run wild despite certain peril bound forged unlikely ne
The Cadaver Factory, fiction horror kennethjarrettsingleton jack rally eighteen year old boy evil witty receives opportunity older film maker named mr bigsley whose film actual murder take run becoming master murderous profession brutal young man enjoys murdering causing havoc setting fut
Percy Jackson's Greek Gods," fantasy fantasy rickriordan johnrocco (illustrator) publisher new york asked write know greek god like anonymously need olympian mad help survive encounter ever show face guess writing good deed week ."" begin p"
The Rise of Nine, youngadult fantasy pittacuslore rise nine next thrilling instalment gripping lorien legacy series pittacus lore number four hero generation michael bay director transformer *** met john smith run alone hiding fighting stay alive together much powerful could last long se
Rise of the Evening Star, fantasy youngadult brandonmull end school year kendra brother seth find racing back fablehaven refuge mythical magical creature grandpa sorenson caretaker invite three specialist -- potion master relic collector mystical creature trapper help protect property society evening star ancient organiza
Lord of Chaos, fantasy fiction robertjordan sequel phenomenal new york time bestseller fire heaven plunge robert jordan extraordinarily rich totally unforgettable world slope shayol ghul myrddraal sword forged sky ... salidar white tower exile prepares embassy caemlyn rand al thor dragon
Tangled, romance contemporary emmachase drew evans winner handsome arrogant make multimillion dollar business deal seduces new york ’ beautiful woman smile loyal friend indulgent family shuttered apartment seven day miserable depressed tell flu know really true katherine brook
By the River Piedra I Sat Down and Wept, fiction romance paulocoelho alanr.clarke (translator) paulo coelho author bestselling alchemist come poignant richly poetic story reflects depth love life rarely adolescent reach full potential happens two young lover reunite eleven year time transformed pilar strong independent woman devoted childhood friend grown
A Gracious Enemy, drama bookclub michaelg.kramer full story three indochina war including wart first indochinese people fighting french colonist supplier ally usa second cambodia lao vietnam allied coalition force made australia new zealand south korea thailand
Just Kids, nonfiction autobiography pattismith kid patti smith first book prose legendary american artist offer never seen glimpse remarkable relationship photographer robert mapplethorpe epochal day new york city chelsea hotel late sixty seventy honest moving story youth friendship brings unique lyrical quality
The Gentleman's Guide to Vice and Virtue, historical historicalfiction mackenzilee henry “ monty ” montague born bred gentleman never one tamed finest boarding school england constant disapproval father ’ able curb roguish passion — gambling hall late night spent bottle spirit waking arm woman men embarks grand
Lord Jim, classics fiction josephconrad jim young british seaman becomes first mate patna ship full pilgrim travelling mecca hajj start rapidly taking water disaster seems imminent join captain crew member abandoning passenger day later picked however
Amy & Roger's Epic Detour, youngadult contemporary morganmatson road trip life detour amy curry terrible year mother decided move across country need get car california connecticut one small problem since father died past spring able behind wheel enter roger nineteen old son
Carnal: Somewhere Over 40 Winks, contemporary psychology romlco'feer heard place called mong dream world intersects real rule easily bent intuition often overwhelms logic desire go control wish come true wrong way captured monster villain sent prison nightmare hideous serial killer manages break jail
Nevermore, youngadult fantasy kellycreagh cheerleader isobel lanley horrified paired varen nethers english project due — unfair day rival game cold aloof sardonic sharp tongued make clear ’ rather anything either discovers strange writing journal help give enigmatic boy wi
Existence, fantasy paranormal abbiglines happens stalked death fall love course pagan moore cheat instead fall seventeen year old seen soul entire life realized stranger often saw walking wall visible anyone else started ignoring let know cou
The Return of the Native, classics fiction thomashardy alexandertheroux (introduction) tempestuous eustacia vye pass day dreaming passionate love escape may bring small community egdon heath hearing clym yeobright return paris set heart marrying believing leave rural life find fulfilment elsewhere disappointed dream
This Girl, romance newadult colleenhoover librarian note isbn 9789383260195 book also used shekhar kapur devi vol 1 samit basu two side every love story hear ’ colleen hoover new york time bestselling slammed series brought countless reader knee whirlwind passion heartache layken managed withstan
The Dragonbone Chair, fantasy fiction tadwilliams war fueled power dark sorcery engulf peaceful land osten ard — prester john high king lie dying death storm undead ruler elf like sithi seizes chance regain lost realm pact newly ascended knowing consequence bargain ’ younger brother join
The Electric Kool-Aid Acid Test, nonfiction history tomwolfe tom wolfe much discussed kaleidoscopic non fiction novel chronicle tale novelist ken kesey band merry prankster 1960s led group psychedelic sympathizer around country painted bus presiding lsd induced acid test along way long considered one greatest book history hippy
"Blue Lily, Lily Blue", fantasy youngadult maggiestiefvater third installment new series 1 york time bestselling author maggie stiefvater blue sargent found thing first time life friend trust group belong raven boy taken one problem become trick f
Os Maias, classics fiction eçadequeirós esterdelemos (introdução) biblioteca ulisseia de autores portuguese 15os maia é uma da obras mais conhecidas escritor português eça queiroz livro foi publicado porto em 1888 acção o passa se lisboa na segunda metade século xix e apresenta no história três gerações da família maia inicia outono 1875 quando afonso nobre pobre pr
NOS4A2, horror fiction joehill nos4a2 spine tingling novel supernatural suspense master horror joe hill new york time bestselling author heart shaped box horn victoria mcqueen secret gift finding thing misplaced bracelet missing photograph answer unanswerable question raleigh tuff burner bike make way rickety covered bridge
Wild Magic, fantasy youngadult tamorapierce young daine knack horse get job helping royal horsemistress drive herd pony tortall soon becomes clear talent much struggle hide downright magical animal obey listen word though learn trust human come term power
"So Long, and Thanks for All the Fish", sciencefiction fiction douglasadams back earth nothing show long strange trip time space ratty towel plastic shopping bag arthur dent ready believe past eight year figment stressed imagination gift wrapped fishbowl cryptic inscription mysterious disappearance dolphin discovery
Batman: The Killing Joke," sequentialart comics alanmoore brianbolland (illustrator) timsale (introduction) first time joker origin revealed tale insanity human perseverance looking prove man pushed past breaking point go mad attempt drive commissioner gordon insane shooting permanently paralyzing daughter barbara k batgirl ), kidnaps attack mind"
The Bear and the Nightingale, fantasy historical katherinearden edge russian wilderness winter last year snowdrift grow taller house vasilisa mind — spends night huddled around ember fire beloved sibling listening nurse fairy tale love chilling story frost blue eyed demon appears frigid ni
Reached, youngadult sciencefiction allycondie leaving society desperately seek rising cassia ky found looking cost losing yet assigned undercover central city outside border airship pilot indie xander medic secret soon everything shift
Grave Mercy, fantasy youngadult robinlafevers sheep wolf seventeen year old ismae escape brutality arranged marriage sanctuary convent st mortain sister still serve god learns god death blessed dangerous gift — violent destiny chooses stay tr
Annabel Horton: Lost Witch of Salem, contemporary epic verajanecook annabel horton hanged gallows hill salem massachusetts infamous witch trial die least way understand dying lost time stealing flesh devil favor struggle protect family insidious evil follows
The Andromeda Strain, sciencefiction fiction michaelcrichton united state government given warning pre eminent biophysicist country current sterilization procedure applied returning space probe may inadequate guarantee uncontaminated entry atmosphere two year later seventeen satellite sent outer fringe collect organism dust study one fall
ساق البامبو, novels fiction سعودالسنعوسي saudalsanousi لماذا كان جلوسي تحت الشجرة يزعج أمي ؟ أتراها كانت تخشى أن تنبت لي جذور تضرب في عمق الأرض ما يجعل عودتي إلى بلاد أبي أمرا ً مستحيلا ً؟.. ربما ، ولكن حتى الجذور لا تعني شيئا أحيانا ً. لو كنت مثل نبتة البامبو .. انتماء لها نقتطع جزءا من ساقها نغرسه بلا أي أرض يلبث الساق طويلا له جديدة تنمو جديد ماض ذاكرة يل
The Sight, fantasy youngadult davidclement-davies shadow abandoned castle wolf pack seek shelter pup able survive harsh transylvanian winter stalked lone morgra possessed mysterious terrifying power known sight know one born beneath hold key even stronger
The Coincidence of Callie & Kayden, romance newadult jessicasorensen bestselling author secret ella micha come mesmerizing novel fate friendship healing power love coincidence callie kaydenfor kayden suffering silence way survive lucky could keep head told make day one night seemed like luck --
Blink: The Power of Thinking Without Thinking, nonfiction psychology malcolmgladwell drawing cutting edge neuroscience psychology displaying brilliance made tipping point classic blink change way understand every decision make never think thinking malcolm gladwell redefined world around u revolutionizes wo
Ship of Magic, fantasy fiction robinhobb wizardwood sentient wood precious commodity world like many legendary ware come rain river wild one trade wilder liveship fashioned negotiate perilous water rare valuable quicken three member successive gener
Darkly Dreaming Dexter, fiction mystery jefflindsay meet dexter morgan polite wolf sheep clothing handsome charming something past made abide different set rule serial killer whose one golden rule make immensely likeable kill bad people job blood splatter expert miami police department put perfect position identify
Fun Home: A Family Tragicomic, sequentialart graphicnovels alisonbechdel graphic memoir alison bechdel chart fraught relationship late father distant exacting bruce english teacher director town funeral home family referred fun college recently come lesbian discovered also gay wee
Significance, fantasy paranormal shellycrane story new york time usa today bestselling author shelly crane maggie seventeen year old girl bad mom left dad depressed graduating barely boyfriend almost three year dumped college football scholarship lately think life hanging thread gripping tight everythin
A Wild Sheep Chase, fiction cultural harukimurakami alfredbirnbaum (translator) life like recurring nightmare train nowhere ordinary way taking extraordinary turn add girl whose ear exquisite uncovered improve sex thousand fold runaway friend right wing politico ovine obsessed professor manic depressive sheep outfit implicate hunt
Beautiful Chaos, fantasy youngadult kamigarcia margaretstohl ethan wate thought getting used strange impossible event happening gatlin small southern town lena returned home taken new meaning swarm locust record breaking heat devastating storm ravage struggle understand impact claiming even le
The Grand Delusion, mystery psychology heathsommer loner addy siwel wanted answer signed freshman course theology — got attention murderer grand delusion dr heath sommer brings life precursor story character john joe merci bowku introduced world 2009 contemporary mystery manufactured identity terror struck
The Couple Next Door, thriller mystery sharilapena started dinner party domestic suspense debut young couple apparently friendly neighbor -- twisty rollercoaster ride lie betrayal secret husband wife anne marco conti seem loving relationship wonderful home beautiful baby cora one night
A Conjuring of Light, fantasy youngadult v.e.schwab witness fate beloved hero enemy balance power finally tipped ... precarious equilibrium among four london reached breaking point brimming red vivacity magic darkness cast shadow maresh empire leaving space another london rise crumble kell assumed last surviving antari
"Fruits Basket, Vol. 1", sequentialart manga natsukitakaya aletheanibley (translator) athenanibley (translator) family ancient curse ... girl change life forever tohru honda orphan place go mysterious sohma offered call home ordinary high school life turned upside introduced world magical curse secret
A Gathering of Shadows, fantasy youngadult v.e.schwab four month since mysterious obsidian stone fell kell possession path crossed delilah bard prince rhy wounded nefarious dane twin white london cast holland dying body rift -- back black restless
Bloodlines, youngadult fantasy lindsayannekendal keira jameson used lead normal life gift passed generation family hearing voice strange dream others calling grandfather last word haunting set find family like along best friend lily person outside know gi
Brida, fiction fantasy paulocoelho margaretjullcosta (translator) story brida young irish girl quest knowledge long interested various aspect magic searching something search lead people great wisdom begin teach spiritual world meet wise man dwells forest teach overcoming fear trusting
Exile, fantasy childrens shannonmessenger sophie foster thought safe settled home havenfield surrounded friend using unique telepathic ability train silveny -- first female alicorn ever seen lost city life finally seems coming together kidnapper still discovers new message clue mysterious blac
"Guns, Germs, and Steel: The Fates of Human Societies", history nonfiction jareddiamond diamond written book remarkable scope ... one important readable work human past published recent year winner pulitzer prize national bestseller global account rise civilization also stunning refutation idea development based race artful informative delightful
The House in the Cerulean Sea, fiction lgbt t.j.klune magical island dangerous task burning secret linus baker lead quiet solitary life forty life tiny house devious cat old record case worker department charge youth spends day overseeing well child government sanctioned orphanage unexpectedly summoned extremely
Last Exit to Brooklyn, fiction classics hubertselbyjr. gilbertsorrentino (editor) novel caused much debate hubert selby jr .' notorious masterpiece last exit brooklyn penguin modern classic edition includes introduction irvine welsh author trainspotting described various reviewer hellish obscene tell story new yorkers every turn confront worst excess hum
Follow the River, historical historicalfiction jamesalexanderthom mary ingles twenty three married pregnant shawnee indian invaded peaceful virginia settlement killed men woman took captive month lived unbroken escaped followed thousand mile trail freedom -- extraordinary story pioneer woman risked life return people
These Happy Golden Years, classics historical lauraingallswilder garthwilliams (illustrator) fifteen year old laura life apart family first time teaching school claim shanty twelve mile home homesick keep help pay sister mary tuition college blind vacation fun singing lesson going sleigh ride best helping almanzo wil
No Exit and Three Other Plays, plays philosophy jean-paulsartre stuartgilbert (translator) lionelabel (translator) four play jean paul sartre great existentialist novelist philosopher display mastery drama exit unforgettable portrayal hell fly modern reworking electra orestes story dirty hand young intellectual torn theory praxis respectful prostitute attack american racism
Gaudy Night, mystery fiction dorothyl.sayers don harriet vane alma mater female shrewsbury college oxford invited back attend annual gaudy celebration however mood turn sour someone begin series malicious act including poison pen message obscene graffiti wanton vandalism asks old friend wimsey investigate
The Constant Princess, historical historicalfiction philippagregory splendid sumptuous historical novel internationally bestselling author philippa gregory telling early life katherine aragon think barren wife notorious king behind legacy lie fascinating story born catalina spanish infanta parent ruler warrior
When Nietzsche Wept, psychology fiction irvind.yalom 19th century vienna drama love fate played amid intellectual ferment defined era josef breuer one founding father psychoanalysis height career friedrich nietzsche europe greatest philosopher brink suicidal despair unable find cure headache ailment plague h
In Farleigh Field, historical historicalfiction rhysbowen “ instantly absorbing suspenseful romantic stylish — like binge watching great british drama masterpiece theater .” lee child new york time bestselling authorwinner agatha award best historical novel macavity left coast crime mystery world war ii come farleigh place ances
The Hidden Oracle, fantasy fantasy rickriordan punish immortal making human angering father zeus god apollo cast olympus weak disorientated land new york city regular teenage boy without godly power four thousand year old deity must learn survive modern world somehow find way regain favour ha
Extreme, novels contemporary joangelfand hope ellson wrong side track genius transcends class join feartoshred silicon valley extreme gaming startup mission groom scrappy company prime time enter doug wiser married ex two work tandem nefarious force behind scene adding excitement thriller
The Call of Cthulhu and Other Weird Stories, horror horror h.p.lovecraft s.t.joshi (editor) collection span lovecraft ’ literary career chart development ‘ cosmicist philosophy belief behind veil blinkered everyday life lie another reality terrible human mind comprehend story written gothic tradition narrator recount descent madness despair investigation
Mostly Harmless, sciencefiction fiction douglasadams ’ easy get disheartened planet blown woman love vanished due misunderstanding space time spaceship crash remote bob fearing fall back simple sandwich making skill however instead arthur dent make terrible mistake starting
Tower of Dawn, fantasy youngadult sarahj.maas chaol westfall nesryn faliq arrived shining city antica forge alliance khagan southern continent whose vast army erilea last hope also come another purpose seek healing famed torre cesme wound received rifthold enduring unspeakable horror child yrene tow
Enna Burning, fantasy youngadult shannonhale enna life meant simple brother leifer brings home mysterious piece vellum teach set fire — without spark flint cannot decide power one want something extinguished forever bayern country go war choice becomes nearly unbearable neve
Free Four: Tobias Tells the Divergent Knife-Throwing Scene, youngadult sciencefiction veronicaroth 1 new york time bestselling author veronica roth retells pivotal divergent scene chapter 13 tobias point view thirteen page reveals unknown fact fascinating detail four character past initiation thought dauntless initiate tris prior
Heartstopper: Volume One, sequentialart graphicnovels aliceoseman charlie highly strung openly gay thinker nick cheerful soft hearted rugby player meet british boy grammar school friendship bloom quickly could something ...? spring year 10 truham past great least bullied anymore nelson
Rage of Angels, fiction thriller sidneysheldon worldwide bestseller first published 1980 novel tell story jennifer parker successful lawyer loved two men one politician mafia
Horton Hears a Who!, childrens childrens dr.seuss academy award winner dustin hoffman masterful narration brings life heartwarming tale horton elephant original music sound effect complement retelling exclusive paperback edition book packaged audio cassette running time approx 20 min
The Orphan Master's Son, fiction historical adamjohnson pak jun haunted son lost mother singer stolen pyongyang influential father run long tomorrow work camp orphan boy given first taste power picking eat lent manual labor recognized loyalty keen instinct come attention superior
King's Cage, fantasy youngadult victoriaaveyard breathless third installment victoria aveyard ’ bestselling red queen series allegiance tested every side lightning girl spark gone light way rebellion mare barrow prisoner powerless without tormented lethal mistake life mercy boy loved made lie
Avalon High, youngadult fantasy megcabot newcomer ellie avalon high seems like typical american school complete jock nerd cheerleader even obligatory senior class president quarterback around good guy take long suspect something weird going beneath glossy surface tranquil hall learning piece together meaning
The Naming, fantasy youngadult alisoncroggon maerad slave desperate unforgiving settlement taken child family destroyed war unaware posse powerful gift one mark member school pellinor discovered cadvan great bard lirigon true heritage extraordinary destiny unfold
Shadowland, youngadult fantasy megcabot jennycarroll suze mediator -- liaison living dead word see people leave alone help resolve unfinished business jesse hot ghost haunting bedroom seem need help relief moved sunny california plan start fresh
El túnel, fiction classics ernestosabato ninopipia (translator) breve e intensa novela publicada en 1948 este logrado fruto de la denominada literatura existencial le dio su autor un reconocimiento que traspasó la fronteras nacionales para quien todavía leyó el túnel e mejor introducción al universo prodigioso ernesto sábato conoce clásico letras del continente una historia sobre drama
The Midnight Library, fiction fantasy matthaig life death library within shelf go forever every book provides chance try another could lived see thing would made choice done anything different undo regret dazzling novel well
The Gulag Archipelago 1918–1956, history nonfiction aleksandrsolzhenitsyn edwarde.ericsonjr. (introduction) drawing incarceration exile well evidence 200 fellow prisoner soviet archive aleksandr solzhenitsyn reveals entire apparatus repression — state within ruled powerfully truly shakespearean portrait victim men woman child encounter secret police operation labo
The Ghost Moth (The Red Grouse Tales), fiction novels lesliegarland ghost moth tragic tale spirit versus flesh recent book excellence award finalist possible five hundred year old story young monk lover could impact family present day joe read folk drawn world religious fanatic witch angel devil unlikely possibility gradu
